Call Type,Incident Number,Call Final Disposition,Neighborhooods - Analysis Boundaries
Traffic Collision,16,Other,Inner Richmond
Medical Incident,7,SFPD,Inner Sunset
Alarms,5,Patient Declined Transport,Pacific Heights
Traffic Collision,2,Code 3 Transport,Presidio Heights
Medical Incident,132,Unable to Locate,Hayes Valley
Outside Fire,40,Fire,Excelsior
Medical Incident,229,Patient Declined Transport,Mission Bay
Traffic Collision,15,Fire,Bernal Heights
Citizen Assist / Service Call,2,Cancelled,Mission
Citizen Assist / Service Call,8,Code 2 Transport,Lone Mountain/USF
Elevator / Escalator Rescue,3,Fire,Noe Valley
Traffic Collision,19,SFPD,Oceanview/Merced/Ingleside
Gas Leak (Natural and LP Gases),3,No Merit,Potrero Hill
Medical Incident,1,CHP,Potrero Hill
Structure Fire,5,Other,Lone Mountain/USF
Fuel Spill,17,Fire,Mission
Outside Fire,2,No Merit,Nob Hill
Elevator / Escalator Rescue,1,Cancelled,Hayes Valley
Structure Fire,10,Other,South of Market
Electrical Hazard,3,No Merit,Tenderloin
Citizen Assist / Service Call,1,Cancelled,Portola
Elevator / Escalator Rescue,2,Cancelled,Japantown
Fuel Spill,9,Fire,West of Twin Peaks
Elevator / Escalator Rescue,44,Fire,Bayview Hunters Point
Traffic Collision,5,CHP,Treasure Island
Traffic Collision,2,Gone on Arrival,Oceanview/Merced/Ingleside
Medical Incident,204,Cancelled,Sunset/Parkside
Traffic Collision,10,Fire,Golden Gate Park
Odor (Strange / Unknown),2,No Merit,Tenderloin
Medical Incident,376,Fire,Tenderloin
Medical Incident,5,Gone on Arrival,Inner Sunset
Structure Fire,12,No Merit,North Beach
Other,3,Medical Examiner,Russian Hill
Medical Incident,28,Unable to Locate,Japantown
Citizen Assist / Service Call,1,Cancelled,West of Twin Peaks
Fuel Spill,3,Fire,Portola
Other,3,Patient Declined Transport,Oceanview/Merced/Ingleside
Citizen Assist / Service Call,1,No Merit,Visitacion Valley
Citizen Assist / Service Call,35,Code 2 Transport,South of Market
Alarms,4,Code 2 Transport,Western Addition
Traffic Collision,10,Medical Examiner,Outer Richmond
Traffic Collision,1,CHP,Bayview Hunters Point
Elevator / Escalator Rescue,2,Patient Declined Transport,South of Market
Structure Fire,44,Fire,Presidio
Smoke Investigation (Outside),70,Fire,Mission
Explosion,4,Fire,Twin Peaks
Other,1,SFPD,Hayes Valley
Outside Fire,1,No Merit,Sunset/Parkside
Traffic Collision,64,Cancelled,South of Market
Traffic Collision,13,Other,Outer Richmond
Other,81,Fire,North Beach
Other,8,No Merit,Presidio
Assist Police,1,Fire,Tenderloin
Traffic Collision,164,Code 2 Transport,West of Twin Peaks
Traffic Collision,7,Other,Castro/Upper Market
Other,24,Fire,Glen Park
Traffic Collision,90,Code 2 Transport,Portola
Traffic Collision,27,Code 3 Transport,Marina
Traffic Collision,18,Patient Declined Transport,Japantown
Structure Fire,22,Code 2 Transport,Tenderloin
Traffic Collision,24,Fire,Financial District/South Beach
