NodeID,ParentID,Incident Number
Call Type,,
Train - Rail Fire,Call Type,
Marine Fire,Call Type,
Confined Space - Structure Collapse,Call Type,
Suspicious Package,Call Type,
Train - Rail Incident,Call Type,
Industrial Accidents,Call Type,
"Extrication - Entrapped (Machinery, Vehicle)",Call Type,
Mutual Aid - Assist Outside Agency,Call Type,
Administrative,Call Type,
High Angle Rescue,Call Type,
Water Rescue,Call Type,
HazMat,Call Type,
Watercraft in Distress,Call Type,
Vehicle Fire,Call Type,
Assist Police,Call Type,
Explosion,Call Type,
Smoke Investigation (Outside),Call Type,
Other,Call Type,
Odor (Strange - Unknown),Call Type,
Electrical Hazard,Call Type,
Fuel Spill,Call Type,
Structure Fire,Call Type,
Gas Leak (Natural and LP Gases),Call Type,
Elevator - Escalator Rescue,Call Type,
Citizen Assist - Service Call,Call Type,
Outside Fire,Call Type,
Alarms,Call Type,
Medical Incident,Call Type,
Traffic Collision,Call Type,
Odor (Strange - Unknown).Lakeshore,Odor (Strange - Unknown),
Elevator - Escalator Rescue.Haight Ashbury,Elevator - Escalator Rescue,
Outside Fire.Seacliff,Outside Fire,
Electrical Hazard.Lakeshore,Electrical Hazard,
HazMat.Visitacion Valley,HazMat,
Vehicle Fire.Noe Valley,Vehicle Fire,
Outside Fire.Presidio,Outside Fire,
Confined Space - Structure Collapse.West of Twin Peaks,Confined Space - Structure Collapse,
Electrical Hazard.Inner Richmond,Electrical Hazard,
Train - Rail Incident.Mission,Train - Rail Incident,
Fuel Spill.Russian Hill,Fuel Spill,
HazMat.Chinatown,HazMat,
Confined Space - Structure Collapse.Bernal Heights,Confined Space - Structure Collapse,
Odor (Strange - Unknown).Outer Richmond,Odor (Strange - Unknown),
Smoke Investigation (Outside).Russian Hill,Smoke Investigation (Outside),
Odor (Strange - Unknown).Castro-Upper Market,Odor (Strange - Unknown),
Confined Space - Structure Collapse.Sunset-Parkside,Confined Space - Structure Collapse,
Elevator - Escalator Rescue.Inner Sunset,Elevator - Escalator Rescue,
Fuel Spill.Outer Mission,Fuel Spill,
Explosion.Mission Bay,Explosion,
Gas Leak (Natural and LP Gases).Lincoln Park,Gas Leak (Natural and LP Gases),
Train - Rail Incident.Mission Bay,Train - Rail Incident,
Gas Leak (Natural and LP Gases).West of Twin Peaks,Gas Leak (Natural and LP Gases),
Smoke Investigation (Outside).Twin Peaks,Smoke Investigation (Outside),
Water Rescue.Portola,Water Rescue,
Outside Fire.None,Outside Fire,
Elevator - Escalator Rescue.Glen Park,Elevator - Escalator Rescue,
Explosion.West of Twin Peaks,Explosion,
HazMat.South of Market,HazMat,
Fuel Spill.Twin Peaks,Fuel Spill,
Smoke Investigation (Outside).Outer Mission,Smoke Investigation (Outside),
Assist Police.West of Twin Peaks,Assist Police,
"Extrication - Entrapped (Machinery, Vehicle).Bayview Hunters Point","Extrication - Entrapped (Machinery, Vehicle)",
Vehicle Fire.Presidio Heights,Vehicle Fire,
HazMat.Pacific Heights,HazMat,
Alarms.Outer Mission,Alarms,
Assist Police.Mission,Assist Police,
Alarms.Glen Park,Alarms,
Alarms.North Beach,Alarms,
Explosion.Marina,Explosion,
Fuel Spill.Tenderloin,Fuel Spill,
Vehicle Fire.Lincoln Park,Vehicle Fire,
Electrical Hazard.Mission Bay,Electrical Hazard,
Vehicle Fire.Mission,Vehicle Fire,
Administrative.Pacific Heights,Administrative,
Explosion.Nob Hill,Explosion,
Elevator - Escalator Rescue.Russian Hill,Elevator - Escalator Rescue,
Alarms.Japantown,Alarms,
Industrial Accidents.Treasure Island,Industrial Accidents,
Industrial Accidents.Bayview Hunters Point,Industrial Accidents,
Explosion.Sunset-Parkside,Explosion,
